200	
191	195
163	199
12	45
141	159
73	127
52	58
21	37
199	199
23	130
82	177
151	151
110	200
76	125
133	194
47	63
162	167
167	191
86	164
88	163
34	57
47	128
153	192
8	174
156	168
131	168
17	114
132	190
108	165
82	148
135	165
67	97
49	59
145	161
115	185
43	125
72	87
42	95
29	124
180	189
48	83
96	137
44	79
39	98
179	194
45	167
147	199
17	69
70	122
11	167
175	200
28	182
153	195
104	147
123	191
1	121
97	149
86	152
181	184
26	76
87	168
43	71
96	189
114	174
139	152
135	161
152	199
163	163
73	127
53	143
176	188
151	174
169	200
160	199
138	169
73	180
61	138
146	192
68	182
161	161
3	131
26	167
199	200
24	165
200	200
47	53
97	131
34	128
91	193
42	126
128	146
75	137
100	107
80	182
27	180
36	140
154	183
161	185
117	194
63	85
61	98
89	135
120	157
80	170
116	196
98	172
45	200
145	163
14	119
40	115
46	193
47	130
23	169
63	166
76	139
140	147
40	76
79	173
155	169
132	167
56	80
8	41
168	194
169	178
9	96
133	141
7	19
172	198
139	141
153	188
98	173
67	142
2	49
145	158
179	192
14	163
124	183
134	156
44	108
147	171
113	176
180	187
175	200
190	193
80	187
73	169
183	183
136	137
6	32
194	199
5	32
147	154
42	138
62	67
70	87
82	137
44	67
17	88
148	149
99	130
169	172
120	174
158	173
93	109
159	189
138	145
162	164
79	132
70	180
120	172
141	172
131	147
126	155
200	200
192	199
32	97
87	147
95	146
154	195
52	86
56	165
19	72
32	123
23	90
38	194
105	151
138	188
147	151
156	174
186	187
199	199
21	104
51	113
33	126
20	53
198	200
136	160
148	188
150	153
64	156
56	189
